Month,Temperature,Humidity,Wind_Speed,Wildfire_Risk,Wildfire Risk 0 to 1 Scale,WFRN,LONG,LAT
10-Jan,-13.57370968,84.10645161,4.886774194,12.68587243,0.317146811,0.208887996,-112.903942,54.856679
10-Feb,-8.556428571,84.30892857,5.804285714,17.89467533,0.447366883,0.294657138,-112.903942,54.856679
10-Mar,-0.406935484,71.62225806,7.667741935,29.23823167,0.730955792,0.481442301,-112.903942,54.856679
10-Apr,5.586666667,58.97733333,12.47,40.81763939,1.020440985,0.672111038,-112.903942,54.856679
10-May,8.591612903,63.45741935,9.018064516,40.06443988,1.001610997,0.659708711,-112.903942,54.856679
10-Jun,14.13566667,64.48466667,7.292333333,43.60474091,1.090118523,0.718003983,-112.903942,54.856679
10-Jul,16.27548387,72.70806452,7.351290323,43.94956745,1.098739186,0.723681963,-112.903942,54.856679
10-Aug,15.05193548,77.80741935,7.218387097,41.71770234,1.042942559,0.686931646,-112.903942,54.856679
10-Sep,9.000166667,76.62133333,7.625,36.75827121,0.91895678,0.605268707,-112.903942,54.856679
10-Oct,5.618709677,68.74129032,7.766129032,35.36607478,0.88415187,0.582344535,-112.903942,54.856679
10-Nov,-6.327666667,76.61433333,,,0.0,0.0,-112.903942,54.856679
10-Dec,-15.39370968,84.20580645,6.806451613,12.45121407,0.311280352,0.205024066,-112.903942,54.856679
11-Jan,-13.96112903,80.00064516,7.998064516,15.48830206,0.387207551,0.255033337,-112.903942,54.856679
11-Feb,-13.24553571,73.52107143,9.011428571,18.19477922,0.454869481,0.299598706,-112.903942,54.856679
11-Mar,-9.345483871,76.86258065,9.08483871,21.12703666,0.528175916,0.347881817,-112.903942,54.856679
11-Apr,2.379,66.412,8.663666667,33.55989545,0.838997386,0.552603641,-112.903942,54.856679
11-May,11.69112903,49.48,10.70774194,46.94492376,1.173623094,0.773004071,-112.903942,54.856679
11-Jun,13.781,71.23966667,8.369,42.73881667,1.068470417,0.70374551,-112.903942,54.856679
11-Jul,15.45322581,74.85774194,8.433548387,43.58381818,1.089595455,0.717659466,-112.903942,54.856679
11-Aug,15.10064516,74.30258065,7.213548387,42.45932258,1.061483064,0.699143307,-112.903942,54.856679
11-Sep,12.39766667,65.904,7.596333333,41.96887425,1.049221856,0.691067491,-112.903942,54.856679
11-Oct,4.977096774,71.55387097,8.256129032,34.58777419,0.864694355,0.569528889,-112.903942,54.856679
11-Nov,-6.4475,77.85366667,7.262333333,22.19647121,0.55491178,0.36549133,-112.903942,54.856679
11-Dec,-4.909032258,75.40935484,9.586774194,25.82727126,0.645681782,0.425276776,-112.903942,54.856679
12-Jan,-9.252903226,73.75290323,11.02354839,23.28716862,0.582179216,0.383450962,-112.903942,54.856679
12-Feb,-8.492586207,74.3962069,8.308965517,21.81376802,0.545344201,0.359189666,-112.903942,54.856679
12-Mar,-2.287580645,73.26774194,10.41903226,29.26292522,0.731573131,0.48184891,-112.903942,54.856679
12-Apr,3.046666667,64.79333333,12.07766667,37.05109849,0.926277462,0.610090457,-112.903942,54.856679
12-May,9.510322581,51.69645161,12.21225806,45.64746921,1.14118673,0.751639937,-112.903942,54.856679
12-Jun,14.69716667,67.421,10.47766667,45.91692879,1.14792322,0.75607691,-112.903942,54.856679
12-Jul,18.26532258,74.81548387,9.430322581,46.89630205,1.172407551,0.772203457,-112.903942,54.856679
12-Aug,16.03596774,73.87290323,8.629032258,44.45716422,1.111429106,0.732040148,-112.903942,54.856679
12-Sep,12.07883333,69.08733333,10.629,43.31685909,1.082921477,0.713263666,-112.903942,54.856679
12-Oct,0.173870968,78.6383871,10.77225806,30.69139882,0.767284971,0.505370429,-112.903942,54.856679
12-Nov,-9.3575,83.671,8.693,19.46055,0.48651375,0.320441129,-112.903942,54.856679
12-Dec,-17.34112903,83.20064516,6.902903226,10.95420381,0.273855095,0.18037401,-112.903942,54.856679
13-Jan,-13.21145161,81.08516129,8.676451613,16.46171408,0.411542852,0.271061725,-112.903942,54.856679
13-Feb,-7.002321429,81.84428571,9.563571429,22.61989286,0.565497321,0.372463472,-112.903942,54.856679
